rule_file,rule_count,attack_word_list,attacked_password_file,passwords_in_password_file,cracked_passwords_count,guesses,cracked_passwords_percentage
tuscl-30000.out,50,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,265,632250,20.17
tuscl-30000.out,100,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,266,1264500,20.24
tuscl-30000.out,200,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,270,2529000,20.55
tuscl-30000.out,400,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,270,5058000,20.55
tuscl-30000.out,800,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,280,10116000,21.31
tuscl-30000.out,1600,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,290,20232000,22.07
tuscl-30000.out,4000,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,318,50580000,24.2
tuscl-30000.out,8000,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,325,101160000,24.73
tuscl-30000.out,16000,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,342,202320000,26.03
tuscl-30000.out,22000,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,350,278190000,26.64
tuscl-30000.out,24000,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,353,303480000,26.86
tuscl-30000_dbscan.rule,50,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,226,632250,17.2
tuscl-30000_dbscan.rule,100,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,241,1264500,18.34
tuscl-30000_dbscan.rule,200,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,261,2529000,19.86
tuscl-30000_dbscan.rule,400,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,375,5058000,28.54
tuscl-30000_dbscan.rule,800,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,395,10116000,30.06
tuscl-30000_dbscan.rule,1600,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,404,20232000,30.75
tuscl-30000_dbscan.rule,4000,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,423,50580000,32.19
tuscl-30000_dbscan.rule,8000,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,441,101160000,33.56
tuscl-30000_dbscan.rule,16000,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,463,202320000,35.24
tuscl-30000_dbscan.rule,22000,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,481,278190000,36.61
tuscl-30000_dbscan.rule,24000,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,486,303480000,36.99
tuscl-30000_ap.rule,50,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,228,632250,17.35
tuscl-30000_ap.rule,100,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,239,1264500,18.19
tuscl-30000_ap.rule,200,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,261,2529000,19.86
tuscl-30000_ap.rule,400,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,366,5058000,27.85
tuscl-30000_ap.rule,800,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,395,10116000,30.06
tuscl-30000_ap.rule,1600,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,406,20232000,30.9
tuscl-30000_ap.rule,4000,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,427,50580000,32.5
tuscl-30000_ap.rule,8000,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,451,101160000,34.32
tuscl-30000_ap.rule,16000,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,480,202320000,36.53
tuscl-30000_ap.rule,22000,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,499,278190000,37.98
tuscl-30000_ap.rule,24000,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/default-passwords.txt,1314,503,303480000,38.28
