rule_file,rule_count,attack_word_list,attacked_password_file,passwords_in_password_file,cracked_passwords_count,guesses,cracked_passwords_percentage
darkweb2017-top1000_M.out,50,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,13770,632250,23.3
darkweb2017-top1000_M.out,100,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,15145,1264500,25.63
darkweb2017-top1000_M.out,200,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,18024,2529000,30.5
darkweb2017-top1000_M.out,400,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,20326,5058000,34.4
darkweb2017-top1000_M.out,600,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,20942,7587000,35.44
darkweb2017-top1000_M.out,800,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,21230,10116000,35.93
darkweb2017-top1000_M.out,1000,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,22039,12645000,37.3
darkweb2017-top1000_M.out,1200,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,22179,15174000,37.54
darkweb2017-top1000_M_dbscan.rule,50,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,16462,632250,27.86
darkweb2017-top1000_M_dbscan.rule,100,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,18214,1264500,30.83
darkweb2017-top1000_M_dbscan.rule,200,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,20922,2529000,35.41
darkweb2017-top1000_M_dbscan.rule,400,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,25597,5058000,43.32
darkweb2017-top1000_M_dbscan.rule,600,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,26413,7587000,44.7
darkweb2017-top1000_M_dbscan.rule,800,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,26653,10116000,45.11
darkweb2017-top1000_M_dbscan.rule,1000,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,26857,12645000,45.45
darkweb2017-top1000_M_dbscan.rule,1200,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,27035,15174000,45.75
darkweb2017-top1000_M_ap.rule,50,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,13821,632250,23.39
darkweb2017-top1000_M_ap.rule,100,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,18397,1264500,31.13
darkweb2017-top1000_M_ap.rule,200,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,21957,2529000,37.16
darkweb2017-top1000_M_ap.rule,400,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,24710,5058000,41.82
darkweb2017-top1000_M_ap.rule,600,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,26547,7587000,44.93
darkweb2017-top1000_M_ap.rule,800,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,26776,10116000,45.32
darkweb2017-top1000_M_ap.rule,1000,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,27006,12645000,45.7
darkweb2017-top1000_M_ap.rule,1200,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,27362,15174000,46.31
darkweb2017-top1000_M_hac.rule,50,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,13529,632250,22.9
darkweb2017-top1000_M_hac.rule,100,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,16755,1264500,28.36
darkweb2017-top1000_M_hac.rule,200,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,18999,2529000,32.15
darkweb2017-top1000_M_hac.rule,400,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,25683,5058000,43.47
darkweb2017-top1000_M_hac.rule,600,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,25993,7587000,43.99
darkweb2017-top1000_M_hac.rule,800,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,26220,10116000,44.37
darkweb2017-top1000_M_hac.rule,1000,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,26434,12645000,44.74
darkweb2017-top1000_M_hac.rule,1200,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,26835,15174000,45.42
matched.rule,50,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,12615,632250,21.35
matched.rule,100,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,12615,1264500,21.35
matched.rule,200,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,12782,2529000,21.63
matched.rule,400,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,12782,5058000,21.63
matched.rule,600,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,12782,7587000,21.63
matched.rule,800,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,12782,10116000,21.63
matched.rule,1000,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,12782,12645000,21.63
matched.rule,1200,1_DIRECTORY_WORDLISTS/probable-v2-top12000_M.txt,2_DIRECTORY_PASSWORDS/rockyou-75_M.txt,59088,12782,15174000,21.63
